nbOpes,type,size
90000,rlsWithGC,3111672
90000,content,106780
91000,rlsWithoutGC,5089492
91000,rlsWithGC,107986
100000,ls,17118194
100000,content,120012
100000,ls,18768750
100000,content,119216
100000,ls,18932656
100000,content,119460
100000,ls,17064326
100000,content,120048
100000,ls,18425674
100000,content,120048
100000,ls,19535992
100000,content,119468
100000,rlsWithoutGC,5953788
100000,rlsWithGC,1055664
100000,content,119964
100000,rlsWithoutGC,5993752
100000,rlsWithGC,1109648
100000,content,119940
100000,rlsWithoutGC,6202616
100000,rlsWithGC,1066336
100000,content,119998
100000,rlsWithoutGC,6353618
100000,rlsWithGC,1101130
100000,content,119140
100000,rlsWithoutGC,6079010
100000,rlsWithGC,1097504
100000,content,118804
110000,ls,17850672
110000,content,120100
110000,ls,19528294
110000,content,119764
110000,ls,19780780
110000,content,119904
110000,ls,17714648
110000,content,119904
110000,ls,19257698
110000,content,120184
110000,ls,20389566
110000,content,120004
110000,rlsWithoutGC,6493694
110000,rlsWithGC,1595570
110000,content,120126
110000,rlsWithoutGC,6501382
110000,rlsWithGC,1617278
110000,content,119624
110000,rlsWithoutGC,6701942
110000,rlsWithGC,1565662
110000,content,119982
110000,rlsWithoutGC,6915814
110000,rlsWithGC,1663326
110000,content,120232
110000,rlsWithoutGC,6662154
110000,rlsWithGC,1680648
110000,content,119932
120000,ls,18558494
120000,content,120440
120000,ls,20371218
120000,content,119988
120000,ls,20548968
120000,content,119884
120000,ls,18385072
120000,content,119924
120000,ls,20063852
120000,content,120244
120000,ls,21122772
120000,content,120032
120000,rlsWithoutGC,7024926
120000,rlsWithGC,2126802
120000,content,120066
121000,rlsWithoutGC,5889224
121000,rlsWithGC,121452
120000,rlsWithoutGC,7013272
120000,rlsWithGC,2129168
120000,content,119788
121000,rlsWithoutGC,5875238
121000,rlsWithGC,121174
120000,rlsWithoutGC,7204230
120000,rlsWithGC,2067950
120000,content,119962
121000,rlsWithoutGC,6099484
121000,rlsWithGC,121348
120000,rlsWithoutGC,7447098
120000,rlsWithGC,2194610
120000,content,120368
121000,rlsWithoutGC,6271166
121000,rlsWithGC,121754
120000,rlsWithoutGC,7158034
120000,rlsWithGC,2176528
120000,content,119892
121000,rlsWithoutGC,5997844
121000,rlsWithGC,121268
130000,ls,19217276
130000,content,120648
130000,ls,21112160
130000,content,120044
130000,ls,21271618
130000,content,119576
130000,ls,19120688
130000,content,120192
130000,ls,20751594
130000,content,120456
130000,ls,21916352
130000,content,120064
130000,rlsWithoutGC,6427432
130000,rlsWithGC,659660
130000,content,120106
130000,rlsWithoutGC,6434172
130000,rlsWithGC,680108
130000,content,119604
130000,rlsWithoutGC,6673714
130000,rlsWithGC,695578
130000,content,119794
130000,rlsWithoutGC,6798172
130000,rlsWithGC,648760
130000,content,120088
130000,rlsWithoutGC,6541936
130000,rlsWithGC,665360
130000,content,120180
140000,ls,19851320
140000,content,120704
140000,ls,21870174
140000,content,120132
