nbOpes,type,time
100000,remote,461962
100000,local,160566
100000,remote,269527
100000,local,161376
100000,remote,385543
100000,local,157024
100000,remote,272170
100000,local,260263
100000,remote,376002
100000,local,209582
100000,remote,521114
100000,local,150633
100000,remote,333054
100000,local,167722
100000,remote,334736
100000,local,154089
100000,remote,441074
100000,local,188757
100000,remote,497572
100000,local,174847
100000,remote,347581
100000,local,170218
100000,remote,389980
100000,local,181491
100000,remote,402021
100000,local,186946
100000,remote,525593
100000,local,171437
100000,remote,374267
100000,local,151111
100000,remote,370183
100000,local,167608
100000,remote,453501
100000,local,1494534
100000,remote,379568
100000,local,167884
100000,remote,341793
100000,local,154527
100000,remote,429393
100000,local,239506
100000,remote,499315
100000,local,165509
100000,remote,461762
100000,local,158463
100000,remote,342875
100000,local,164533
100000,remote,288608
100000,local,184417
100000,remote,405123
100000,local,165434
100000,remote,426303
100000,local,155114
100000,remote,458409
100000,local,189668
100000,remote,302477
100000,local,159505
100000,remote,511877
100000,local,173372
100000,remote,432029
100000,local,185890
100000,remote,435193
100000,local,240412
100000,remote,430439
100000,local,154344
100000,remote,292638
100000,local,161114
100000,remote,499705
100000,local,158600
100000,remote,232469
100000,local,169914
100000,remote,350842
100000,local,523578
100000,remote,487978
100000,local,155554
100000,remote,326067
100000,local,172129
100000,remote,425826
100000,local,164087
100000,remote,409398
100000,local,162076
100000,remote,351196
100000,local,147531
100000,remote,376753
100000,local,161114
100000,remote,359046
100000,local,452417
100000,remote,336104
100000,local,174502
100000,remote,459281
100000,local,169343
100000,remote,427832
100000,local,149256
100000,remote,381164
100000,local,163127
100000,remote,389566
100000,local,153756
100000,remote,384662
100000,local,158187
100000,remote,462832
100000,local,151483
100000,remote,445995
100000,local,178034
100000,remote,386635
100000,local,161368
100000,remote,424803
100000,local,178240
100000,remote,417746
100000,local,149511
100000,remote,407420
100000,local,177031
100000,remote,383227
102000,local,1522970
102000,remote,346031
102000,local,156833
102000,remote,378387
102000,local,168579
102000,remote,295695
102000,local,158776
102000,remote,341829
102000,local,156780
102000,remote,378957
102000,local,180870
102000,remote,479306
102000,local,174232
102000,remote,281700
102000,local,166063
102000,remote,394264
102000,local,144745
102000,remote,365475
102000,local,173809
102000,remote,314516
102000,local,188075
102000,remote,486285
102000,local,175880
102000,remote,458982
102000,local,176161
102000,remote,387952
102000,local,162669
102000,remote,419495
102000,local,161206
102000,remote,413582
102000,local,158003
102000,remote,418518
102000,local,150849
102000,remote,334256
102000,local,279993
102000,remote,317075
102000,local,160668
102000,remote,317302
102000,local,178102
102000,remote,466434
102000,local,152361
102000,remote,336917
102000,local,193364
102000,remote,507483
102000,local,174534
102000,remote,358861
102000,local,158772
102000,remote,400017
102000,local,167090
102000,remote,391072
102000,local,163690
102000,remote,424012
102000,local,171969
102000,remote,424133
102000,local,168461
102000,remote,501542
102000,local,174801
102000,remote,431524
102000,local,181247
102000,remote,371148
102000,local,176338
102000,remote,276954
102000,local,189593
102000,remote,440305
102000,local,172030
102000,remote,403727
102000,local,173424
102000,remote,450924
102000,local,165146
102000,remote,420252
102000,local,169299
102000,remote,398536
102000,local,699323
102000,remote,632682
102000,local,156759
102000,remote,330841
102000,local,156000
102000,remote,385587
102000,local,158780
102000,remote,409687
102000,local,169164
102000,remote,370393
102000,local,1511028
102000,remote,458080
102000,local,145695
102000,remote,299809
102000,local,160406
102000,remote,376944
102000,local,166782
102000,remote,374642
102000,local,189558
102000,remote,426493
102000,local,155687
102000,remote,345641
102000,local,148636
102000,remote,330397
102000,local,142506
102000,remote,401619
102000,local,190292
102000,remote,437591
102000,local,145510
102000,remote,371367
102000,local,178391
102000,remote,537386
102000,local,155869
102000,remote,408889
102000,local,192801
102000,remote,442263
102000,local,169812
102000,remote,496775
102000,local,170504
102000,remote,398482
102000,local,149249
102000,remote,383667
102000,local,188437
102000,remote,429698
102000,local,174912
102000,remote,402686
102000,local,157687
102000,remote,346762
102000,local,173480
102000,remote,401682
102000,local,158306
102000,remote,436215
102000,local,175672
102000,remote,351036
102000,local,172457
102000,remote,387304
102000,local,155776
102000,remote,351302
102000,local,151867
102000,remote,432252
102000,local,160593
102000,remote,408396
102000,local,168889
102000,remote,407041
102000,local,153339
102000,remote,368205
102000,local,163034
102000,remote,303271
102000,local,255983
102000,remote,460040
102000,local,166816
102000,remote,445188
102000,local,166442
102000,remote,420669
102000,local,154894
102000,remote,328240
102000,local,154796
102000,remote,387949
102000,local,153055
102000,remote,331176
102000,local,480950
102000,remote,279096
102000,local,173246
102000,remote,448678
102000,local,145540
102000,remote,327252
102000,local,153380
102000,remote,431352
102000,local,183909
102000,remote,476539
102000,local,1729116
102000,remote,339178
102000,local,167667
102000,remote,505210
102000,local,151778
102000,remote,403849
102000,local,145781
102000,remote,308377
102000,local,159958
102000,remote,415697
102000,local,148325
102000,remote,354550
102000,local,178533
102000,remote,414257
102000,local,163912
102000,remote,319596
102000,local,193770
102000,remote,404316
102000,local,155422
102000,remote,355813
102000,local,175338
102000,remote,458826
102000,local,149278
102000,remote,409937
102000,local,179033
102000,remote,443177
102000,local,152043
102000,remote,437973
102000,local,155568
102000,remote,364713
102000,local,169983
102000,remote,392479
102000,local,205153
102000,remote,389852
102000,local,170134
102000,remote,326728
102000,local,153264
102000,remote,378209
102000,local,164945
102000,remote,386188
102000,local,190056
102000,remote,639235
102000,local,155727
102000,remote,382319
102000,local,174055
102000,remote,425719
102000,local,178905
102000,remote,409802
102000,local,167894
102000,remote,432264
102000,local,187681
102000,remote,506622
102000,local,204026
102000,remote,449948
102000,local,151747
102000,remote,288315
102000,local,170043
102000,remote,334751
102000,local,179481
102000,remote,460442
102000,local,166315
102000,remote,355385
102000,local,184820
102000,remote,462563
102000,local,175320
102000,remote,471057
102000,local,165530
102000,remote,483823
102000,local,161422
102000,remote,356372
102000,local,166934
102000,remote,519525
102000,local,183774
102000,remote,547633
102000,local,160705
102000,remote,343595
102000,local,169225
102000,remote,443028
104000,local,170439
104000,remote,437247
104000,local,185979
104000,remote,413604
104000,local,1480370
104000,remote,449415
104000,local,158087
104000,remote,321828
104000,local,170267
104000,remote,354496
104000,local,154296
104000,remote,371914
104000,local,6252783
