nbOpes,type,time
10000,local,141527
10000,remote,257827
10000,remoteConcurrentToRename,221750
10000,local,140290
10000,remote,179817
10000,remoteConcurrentToRename,216036
10000,local,145285
10000,remote,250615
10000,remoteConcurrentToRename,206718
10000,local,132527
10000,remote,251975
10000,remoteConcurrentToRename,209988
10000,local,140385
10000,remote,264622
10000,remoteConcurrentToRename,217986
10000,local,136735
10000,remote,302436
10000,remoteConcurrentToRename,218951
10000,local,140396
10000,remote,317311
10000,remoteConcurrentToRename,196193
10000,local,133418
10000,remote,253542
10000,remoteConcurrentToRename,195406
10000,local,143361
10000,remote,302095
10000,remoteConcurrentToRename,265622
10000,local,125773
10000,remote,301776
10000,remoteConcurrentToRename,232779
10000,local,139481
10000,remote,259978
10000,remoteConcurrentToRename,222589
10000,local,130710
10000,remote,265240
10000,remoteConcurrentToRename,248661
10000,local,134259
10000,remote,237281
10000,remoteConcurrentToRename,224968
10000,local,137766
10000,remote,252752
10000,remoteConcurrentToRename,202492
10000,local,131119
10000,remote,276824
10000,remoteConcurrentToRename,220183
10000,local,137440
10000,remote,255592
10000,remoteConcurrentToRename,211260
10000,local,116009
10000,remote,267634
10000,remoteConcurrentToRename,223841
10000,local,122016
10000,remote,230440
10000,remoteConcurrentToRename,223276
10000,local,137587
10000,remote,249985
10000,remoteConcurrentToRename,241941
10000,local,183786
10000,remote,362204
10000,remoteConcurrentToRename,281978
10000,local,143894
10000,remote,355348
10000,remoteConcurrentToRename,252331
10000,local,133778
10000,remote,291505
10000,remoteConcurrentToRename,232568
10000,local,277252
10000,remote,250807
10000,remoteConcurrentToRename,220745
10000,local,162219
10000,remote,348305
10000,remoteConcurrentToRename,240278
10000,local,152641
10000,remote,329274
10000,remoteConcurrentToRename,282420
10000,local,137154
10000,remote,359082
10000,remoteConcurrentToRename,268623
10000,local,137779
10000,remote,310540
10000,remoteConcurrentToRename,265998
10000,local,163677
10000,remote,385216
10000,remoteConcurrentToRename,269269
10000,local,129270
10000,remote,251207
10000,remoteConcurrentToRename,218944
10000,local,141775
10000,remote,306466
10000,remoteConcurrentToRename,274129
10000,local,271695
10000,remote,273400
10000,remoteConcurrentToRename,247310
10000,local,136796
10000,remote,292911
10000,remoteConcurrentToRename,225481
10000,local,149021
10000,remote,284392
10000,remoteConcurrentToRename,207633
10000,local,129282
10000,remote,284530
10000,remoteConcurrentToRename,231433
10000,local,127766
10000,remote,314324
10000,remoteConcurrentToRename,274053
10000,local,125386
10000,remote,276060
10000,remoteConcurrentToRename,235627
10000,local,125905
10000,remote,332330
10000,remoteConcurrentToRename,249029
10000,local,142182
10000,remote,261120
10000,remoteConcurrentToRename,212672
10000,local,122994
10000,remote,248814
10000,remoteConcurrentToRename,229320
10000,local,144673
10000,remote,275471
10000,remoteConcurrentToRename,232593
10000,local,159273
10000,remote,338252
10000,remoteConcurrentToRename,231258
10000,local,142380
10000,remote,295335
10000,remoteConcurrentToRename,227673
10000,local,134039
10000,remote,306032
10000,remoteConcurrentToRename,200126
10000,local,136715
10000,remote,400032
10000,remoteConcurrentToRename,261737
10000,local,162342
10000,remote,334656
10000,remoteConcurrentToRename,240634
10000,local,149554
10000,remote,308875
10000,remoteConcurrentToRename,210201
10000,local,147732
10000,remote,312322
10000,remoteConcurrentToRename,236432
10000,local,135157
10000,remote,275034
