nbOpes,type,size,nbRenamingBots
10000,rlsWithGC,1733920,2
10000,content,11964,2
10000,rlsWithoutGC,1404084,2
10000,rlsWithGC,1404084,2
10000,content,12060,2
10000,rlsWithoutGC,1383630,3
10000,rlsWithGC,1383630,3
10000,content,11996,3
10000,rlsWithoutGC,1512346,3
10000,rlsWithGC,1512346,3
10000,content,12096,3
10000,rlsWithoutGC,1441054,3
10000,rlsWithGC,1441054,3
10000,content,11960,3
10000,rlsWithoutGC,1428810,3
10000,rlsWithGC,1428810,3
10000,content,11832,3
10000,rlsWithoutGC,1327082,3
10000,rlsWithGC,1327082,3
10000,content,12178,3
10000,rlsWithoutGC,1326034,3
10000,rlsWithGC,1326034,3
10000,content,11920,3
10000,rlsWithoutGC,1297836,3
10000,rlsWithGC,1297836,3
10000,content,11972,3
10000,rlsWithoutGC,1529620,3
10000,rlsWithGC,1529620,3
10000,content,12186,3
10000,rlsWithoutGC,1514084,3
10000,rlsWithGC,1514084,3
10000,content,12172,3
10000,rlsWithoutGC,1348146,3
10000,rlsWithGC,1348146,3
10000,content,12200,3
10000,rlsWithoutGC,1296738,3
10000,rlsWithGC,1296738,3
10000,content,12400,3
10000,rlsWithoutGC,1642198,3
10000,rlsWithGC,1642198,3
10000,content,11848,3
10000,rlsWithoutGC,1389444,3
10000,rlsWithGC,1389444,3
10000,content,11960,3
10000,rlsWithoutGC,1356704,3
10000,rlsWithGC,1356704,3
10000,content,11896,3
10000,rlsWithoutGC,1388548,3
10000,rlsWithGC,1388548,3
10000,content,12220,3
10000,rlsWithoutGC,1465546,3
10000,rlsWithGC,1465546,3
10000,content,11748,3
10000,rlsWithoutGC,1612596,3
10000,rlsWithGC,1612596,3
10000,content,11972,3
10000,rlsWithoutGC,1592942,3
10000,rlsWithGC,1592942,3
10000,content,11684,3
10000,rlsWithoutGC,1390310,4
10000,rlsWithGC,1390310,4
10000,content,12084,4
10000,rlsWithoutGC,1885538,4
10000,rlsWithGC,1885538,4
10000,content,12060,4
10000,rlsWithoutGC,1598948,4
10000,rlsWithGC,1598948,4
10000,content,12284,4
10000,rlsWithoutGC,1328330,4
10000,rlsWithGC,1328330,4
10000,content,12036,4
10000,rlsWithoutGC,1308960,4
10000,rlsWithGC,1308960,4
10000,content,11600,4
10000,rlsWithoutGC,1390194,4
10000,rlsWithGC,1390194,4
10000,content,12124,4
10000,rlsWithoutGC,1349798,4
10000,rlsWithGC,1349798,4
10000,content,12104,4
10000,rlsWithoutGC,1435828,4
10000,rlsWithGC,1435828,4
10000,content,12032,4
10000,rlsWithoutGC,1386406,4
10000,rlsWithGC,1386406,4
10000,content,11996,4
10000,rlsWithoutGC,1691980,4
10000,rlsWithGC,1691980,4
10000,content,12148,4
10000,rlsWithoutGC,1606388,4
10000,rlsWithGC,1606388,4
10000,content,12048,4
10000,rlsWithoutGC,1461360,4
10000,rlsWithGC,1461360,4
10000,content,12208,4
10000,rlsWithoutGC,1276726,4
10000,rlsWithGC,1276726,4
10000,content,11880,4
10000,rlsWithoutGC,1584496,4
10000,rlsWithGC,1584496,4
10000,content,11792,4
10000,rlsWithoutGC,1648386,4
10000,rlsWithGC,1648386,4
10000,content,11788,4
10000,rlsWithoutGC,1387220,4
10000,rlsWithGC,1387220,4
10000,content,12392,4
10000,rlsWithoutGC,1282484,4
10000,rlsWithGC,1282484,4
10000,content,11836,4
10000,rlsWithoutGC,1471404,4
10000,rlsWithGC,1471404,4
10000,content,11968,4
10000,rlsWithoutGC,1544868,4
10000,rlsWithGC,1544868,4
10000,content,12112,4
10000,rlsWithoutGC,1450114,4
10000,rlsWithGC,1450114,4
10000,content,12100,4
10000,rlsWithoutGC,1728822,4
10000,rlsWithGC,1728822,4
10000,content,12068,4
20000,ls,2717302,1
20000,content,24024,1
20000,ls,2717302,2
20000,content,24024,2
20000,ls,2717302,3
20000,content,24024,3
20000,ls,2717302,4
20000,content,24024,4
20000,ls,3366104,1
20000,content,24024,1
20000,ls,3366104,2
20000,content,24024,2
20000,ls,3366104,3
20000,content,24024,3
20000,ls,3366104,4
20000,content,24024,4
20000,ls,3400842,1
20000,content,24096,1
20000,ls,3400842,2
20000,content,24096,2
20000,ls,3400842,3
20000,content,24096,3
20000,ls,3400842,4
20000,content,24096,4
20000,ls,3310952,1
20000,content,23740,1
20000,ls,3310952,2
20000,content,23740,2
20000,ls,3310952,3
20000,content,23740,3
20000,ls,3310952,4
20000,content,23740,4
20000,ls,3230314,1
20000,content,23880,1
20000,ls,3230314,2
20000,content,23880,2
20000,ls,3230314,3
20000,content,23880,3
20000,ls,3230314,4
20000,content,23880,4
20000,ls,3056864,1
20000,content,24072,1
20000,ls,3056864,2
20000,content,24072,2
20000,ls,3056864,3
20000,content,24072,3
20000,ls,3056864,4
20000,content,24072,4
20000,ls,2773250,1
20000,content,23912,1
20000,ls,2773250,2
20000,content,23912,2
20000,ls,2773250,3
20000,content,23912,3
20000,ls,2773250,4
20000,content,23912,4
20000,ls,2580912,1
20000,content,24332,1
20000,ls,2580912,2
20000,content,24332,2
20000,ls,2580912,3
20000,content,24332,3
20000,ls,2580912,4
20000,content,24332,4
20000,ls,3132760,1
20000,content,24464,1
20000,ls,3132760,2
20000,content,24464,2
20000,ls,3132760,3
20000,content,24464,3
20000,ls,3132760,4
20000,content,24464,4
20000,ls,3286982,1
20000,content,23932,1
20000,ls,3286982,2
20000,content,23932,2
20000,ls,3286982,3
20000,content,23932,3
20000,ls,3286982,4
20000,content,23932,4
20000,ls,3167566,1
20000,content,24076,1
20000,ls,3167566,2
20000,content,24076,2
20000,ls,3167566,3
20000,content,24076,3
20000,ls,3167566,4
20000,content,24076,4
20000,ls,2986942,1
20000,content,23632,1
20000,ls,2986942,2
20000,content,23632,2
20000,ls,2986942,3
20000,content,23632,3
20000,ls,2986942,4
20000,content,23632,4
20000,ls,3604162,1
20000,content,23336,1
20000,ls,3604162,2
20000,content,23336,2
20000,ls,3604162,3
20000,content,23336,3
20000,ls,3604162,4
20000,content,23336,4
20000,ls,3256376,1
20000,content,24148,1
20000,ls,3256376,2
20000,content,24148,2
20000,ls,3256376,3
20000,content,24148,3
20000,ls,3256376,4
20000,content,24148,4
20000,ls,3036494,1
20000,content,24400,1
20000,ls,3036494,2
20000,content,24400,2
20000,ls,3036494,3
20000,content,24400,3
20000,ls,3036494,4
20000,content,24400,4
20000,ls,3168334,1
20000,content,23788,1
20000,ls,3168334,2
20000,content,23788,2
20000,ls,3168334,3
20000,content,23788,3
20000,ls,3168334,4
20000,content,23788,4
20000,ls,3576552,1
20000,content,23712,1
20000,ls,3576552,2
20000,content,23712,2
20000,ls,3576552,3
20000,content,23712,3
20000,ls,3576552,4
20000,content,23712,4
20000,ls,3116540,1
20000,content,24208,1
20000,ls,3116540,2
20000,content,24208,2
20000,ls,3116540,3
20000,content,24208,3
20000,ls,3116540,4
20000,content,24208,4
20000,rlsWithoutGC,3095542,1
20000,rlsWithGC,3095542,1
20000,content,23648,1
20000,rlsWithoutGC,3373140,1
20000,rlsWithGC,3373140,1
20000,content,24180,1
20000,rlsWithoutGC,2878742,1
20000,rlsWithGC,2878742,1
20000,content,24116,1
20000,rlsWithoutGC,3740412,1
20000,rlsWithGC,3740412,1
20000,content,23896,1
20000,rlsWithoutGC,3028982,1
20000,rlsWithGC,3028982,1
20000,content,24348,1
20000,rlsWithoutGC,3498154,1
20000,rlsWithGC,3498154,1
20000,content,24276,1
20000,rlsWithoutGC,3913060,1
20000,rlsWithGC,3913060,1
20000,content,23816,1
20000,rlsWithoutGC,2790110,1
20000,rlsWithGC,2790110,1
20000,content,24228,1
20000,rlsWithoutGC,3141126,1
20000,rlsWithGC,3141126,1
20000,content,23860,1
20000,rlsWithoutGC,3038918,1
20000,rlsWithGC,3038918,1
20000,content,23808,1
20000,rlsWithoutGC,2682600,1
20000,rlsWithGC,2682600,1
20000,content,24212,1
20000,rlsWithoutGC,3776530,1
20000,rlsWithGC,3776530,1
20000,content,23668,1
20000,rlsWithoutGC,3215348,1
20000,rlsWithGC,3215348,1
20000,content,23992,1
20000,rlsWithoutGC,3472984,1
20000,rlsWithGC,3472984,1
20000,content,23958,1
20000,rlsWithoutGC,3073358,1
20000,rlsWithGC,3073358,1
20000,content,23816,1
